"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDFG","WSFG"
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-12","0.00","0.0",,,"34","21",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-13","0.00","0.0","0.0",,"38","19",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-14","0.00","0.0",,,"51","32",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-15","0.00","0.0",,,"55","40",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-16","0.00","0.0",,,"53","39",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-17","0.49","0.0",,,"59","49",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-18","0.02","0.0",,,"53","34",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-19","0.00","0.0",,,"37","26",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-20","0.00","0.0",,,"38","22",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-21","0.09","0.0",,,"45","33",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-22","0.19","0.0",,,"47","29",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-23","0.04","0.4","0.0",,"33","11",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-24","0.00","0.0","0.0",,"23","9",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-25","0.00","0.0","0.0",,"36","17",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-26","0.10","0.8","0.0",,"35","30",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-27","0.06","0.6","0.4",,"33","18",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-28","0.01","0.1","0.8",,"26","14",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-29","0.00","0.0","0.8",,"28","13",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-11-30","0.00","0.0","0.4",,"36","25",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-01","0.04","0.0","0.4",,"38","34",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-02","0.00","0.0",,,"36","30",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-03","0.00","0.0",,,"38","25",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-04","0.12","0.0",,,"40","33",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-05","0.00","0.0",,,"60","35",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-06","0.00","0.0",,,"35","27",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-07","0.00","0.0",,,"30","18",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-08","0.00","0.0",,,"30","17",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-09","0.07","0.6","0.4",,"34","24",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-10","0.00","0.0","0.4",,"24","15",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-11","0.00","0.0","0.4",,"24","12",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-12","0.00","0.0","0.4",,"19","11",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-13","0.01","0.1","0.4",,"23","9",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-14","0.28","4.1","0.4",,"12","6",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-15","0.09","1.2","4.7",,"24","7",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-16","0.01","0.1","4.7",,"18","0",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-17","0.09","1.0","4.3",,"24","4",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-18","0.00","0.0","5.1",,"30","22",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-19","0.05","0.5","4.3",,"36","26",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-20","0.38","0.4","3.5",,"33","31",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-21","0.65","0.0","1.2",,"32","30",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-22","0.55","0.2","1.2",,"35","27",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-23","0.00","0.0","1.2",,"34","17",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-24","0.02","0.2","1.2",,"18","4",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-25","0.09","1.8","1.2",,"25","1",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-26","0.12","1.3","3.5",,"31","20",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-27","0.00","0.0","3.5",,"35","21",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-28","0.00","0.0","2.8",,"38","35",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-29","0.00","0.0","1.6",,"41","18",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-30","0.00","0.0","1.2",,"18","12",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2013-12-31","0.02","0.2","1.2",,"19","12",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-01","0.00","0.0","1.2",,"14","4",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-02","0.03","0.4","1.2",,"5","-4",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-03","0.00","0.0","1.6",,"15","-11",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-04","0.02","0.2","1.6",,"31","15",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-05","0.57","4.6","2.4",,"32","27",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-06","0.20","0.5","4.7",,"32","0",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-07","0.00","0.0","4.7",,"1","-12",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-08","0.00","0.0","4.7",,"16","0",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-09","0.01","0.1","3.1",,"21","3",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-10","0.12","0.7","3.9",,"37","17",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-11","0.31","0.0","3.1",,"44","35",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-12","0.00","0.0","1.6",,"36","33",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-13","0.04","0.0","1.2",,"45","33",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-14","0.00","0.0","0.8",,"40","31",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-15","0.00","0.0","0.4",,"33","21",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-16","0.06","0.6","0.4",,"30","22",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-17","0.09","1.0","1.6",,"35","27",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-18","0.02","0.2","1.2",,"27","17",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-19","0.02","0.2","1.2",,"27","16",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-20","0.03","0.4","1.6",,"27","1",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-21","0.00","0.0","1.6",,"2","-6",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-22","0.00","0.0","1.6",,"9","-10",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-23","0.01","0.2","1.6",,"7","-3",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-24","0.02","0.2","1.6",,"16","-3",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-25","0.14","1.7","2.8",,"26","1",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-26","0.04","0.6","3.1",,"23","-1",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-27","0.08","0.9","3.5",,"23","1",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-28","0.00","0.0","3.5",,"9","-5",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-29","0.00","0.0","3.5",,"14","-1",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-30","0.02","0.2","3.5",,"28","8",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-01-31","0.00","0.0","3.1",,"32","24",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-01","0.49","4.3","2.4",,"33","25",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-02","0.00","0.0","5.5",,"32","17",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-03","0.00","0.0","5.5",,"25","6",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-04","0.04","0.4","4.7",,"24","4",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-05","0.44","5.9","5.9",,"21","5",,
"CA006158731","TORONTO INTERNATIONAL A, ON CA","2014-02-06","0.00","0.0","9.8",,"18","1",,
